"","number","sp","Dataset","TraitValue","TraitValueClean","Lat","Lon","DataContributor","TraitName","TraitNameClean","extra","extra2"
"2278",2278,"Vaccinium myrtillus","""FUMB""","0.14","0.14","61.64506","12.59014","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2279",2279,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.092","69.045","20.831","""Elina Kaarlejarvi; Anu Eskelinen; Johan Olofsson""","""PlantHeight""","PlantHeight",NA,NA
"2280",2280,"Vaccinium myrtillus","""FUMB""","0.07","0.07","61.64506","12.59014","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2281",2281,"Vaccinium myrtillus","""Filia""","21.82","21.82","42.46391","0.96144","""Alba Anadon-Rosell""","""SLA"";;","SLA",NA,NA
"2282",2282,"Vaccinium myrtillus","""LOMB""","0.08","0.08","62.06711","12.24481","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2283",2283,"Vaccinium myrtillus","""The Global Leaf Traits""","18.787383178","18.787383178","53.4","-1.5","""Serge Sheremetev""","""SLA"";;","SLA",NA,NA
"2284",2284,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","0.066","69.06686089","20.82774531","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"2285",2285,"Vaccinium myrtillus","""LOMB""","0.1","0.1","62.06711","12.24481","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2286",2286,"Vaccinium myrtillus","""FURI""","0.04","0.04","61.63542","12.6375","""Tage Vowles""","""PlantHeight"";;","PlantHeight",NA,NA
"2287",2287,"Vaccinium myrtillus","""Kilpisjarvi"," Finland""","21.22382629","69.06939894","20.80940115","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""SLA""","SLA",NA,NA
