"","number","sp","Dataset","TraitValue","TraitValueClean","Lat","Lon","DataContributor","TraitName","TraitNameClean","extra","extra2"
"1",1,"Cassiope tetragona","""Atqasuk""","0.062","0.062","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"2",2,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.076","0.076","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"3",3,"Cassiope tetragona","""Atqasuk""","0.072","0.072","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"4",4,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","0.1","0.1","67.5","-152.5","""Ian Wright""","""PlantHeight"";;","PlantHeight",NA,NA
"5",5,"Cassiope tetragona","""Kluane Plateau""","0.072","0.072","60.97135","-138.41777","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"6",6,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.138","0.138","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"7",7,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.06","69.05440329","20.81852298","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"8",8,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.103","0.103","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"9",9,"Cassiope tetragona","""Atqasuk""","0.068","0.068","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"10",10,"Cassiope tetragona","""Abisko""","4.53125","4.53125","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"11",11,"Cassiope tetragona","""Abisko""","7.01375","7.01375","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"12",12,"Cassiope tetragona","""Abisko""","3.518666667","3.518666667","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"13",13,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.073","69.05285125","20.82412302","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"14",14,"Cassiope tetragona","""Abisko""","4.976666667","4.976666667","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"15",15,"Cassiope tetragona","""Kluane Plateau""","0.106","0.106","60.97135","-138.41777","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"16",16,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","7.35373953988935","7.35373953988935","69","18","""Ian Wright""","""SLA"";;","SLA",NA,NA
"17",17,"Cassiope tetragona","""Abisko""","7.7775","7.7775","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"18",18,"Cassiope tetragona","""Atqasuk""","0.07","0.07","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"19",19,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.102","0.102","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"20",20,"Cassiope tetragona","""Barrow"," Alaska""","0.052","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"21",21,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.142","69.05440329","20.81852298","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"22",22,"Cassiope tetragona","""Abisko""","6.1575","6.1575","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"23",23,"Cassiope tetragona","""The Global Leaf Traits""","7.3537395399","7.3537395399","68.33","18.85","""Serge Sheremetev""","""SLA"";;","SLA",NA,NA
"24",24,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.09","0.09","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"25",25,"Cassiope tetragona","""Atqasuk""","0.026","0.026","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"26",26,"Cassiope tetragona","""Latnjajaure Sweden""","0.091","0.091","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"27",27,"Cassiope tetragona","""Atqasuk""","0.088","0.088","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"28",28,"Cassiope tetragona","""Endalen Svalbard""","0.1","0.1","78.186036","15.739356","""Stef Weijers""","""PlantHeight"";;","PlantHeight",NA,NA
"29",29,"Cassiope tetragona","""Atqasuk""","0.04","0.04","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"30",30,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.1","0.1","69.57536","-138.86479","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"31",31,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.03","69.04809405","20.8331016","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"32",32,"Cassiope tetragona","""Atqasuk""","0.086","0.086","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"33",33,"Cassiope tetragona","""Endalen Svalbard""","0.1","0.1","78.186036","15.739356","""Stef Weijers""","""PlantHeight"";;","PlantHeight",NA,NA
"34",34,"Cassiope tetragona","""BobHollisterSeeds""","1.97e-05","1.97e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"35",35,"Cassiope tetragona","""Endalen Svalbard""","0.1","0.1","78.186036","15.739356","""Stef Weijers""","""PlantHeight"";;","PlantHeight",NA,NA
"36",36,"Cassiope tetragona","""Atqasuk""","0.07","0.07","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"37",37,"Cassiope tetragona","""Atqasuk""","0.072","0.072","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"38",38,"Cassiope tetragona","""Atqasuk""","0.04","0.04","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"39",39,"Cassiope tetragona","""Atqasuk""","0.042","0.042","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"40",40,"Cassiope tetragona","""Abisko""","4.814814815","4.814814815","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"41",41,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","4","4","67.5","-152.5","""Ian Wright""","""SLA"";;","SLA",NA,NA
"42",42,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.103","0.103","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"43",43,"Cassiope tetragona","""Atqasuk""","0.076","0.076","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"44",44,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.068","0.068","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"45",45,"Cassiope tetragona","""Herschel Island""","8.235294118","8.235294118","69.5749","-138.8631","""Isla Myers-Smith""","""SLA"";;","SLA",NA,NA
"46",46,"Cassiope tetragona","""Latnjajaure Sweden""","0.058","0.058","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"47",47,"Cassiope tetragona","""Atqasuk""","0.088","0.088","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"48",48,"Cassiope tetragona","""Atqasuk""","0.081","0.081","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"49",49,"Cassiope tetragona","""Barrow"," Alaska""","0.06","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"50",50,"Cassiope tetragona","""BobHollisterSeeds""","2.71e-05","2.71e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"51",51,"Cassiope tetragona","""Endalen Svalbard""","0.1","0.1","78.186036","15.739356","""Stef Weijers""","""PlantHeight"";;","PlantHeight",NA,NA
"52",52,"Cassiope tetragona","""Abisko & Sheffield Database""","0.1","0.1","68.33","18.85","""Johannes Cornelissen""","""PlantHeight"";;","PlantHeight",NA,NA
"53",53,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.104","0.104","69.57795","-138.92172","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"54",54,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.052","69.05181302","20.82079527","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"55",55,"Cassiope tetragona","""Atqasuk""","0.054","0.054","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"56",56,"Cassiope tetragona","""Abisko""","2.707524272","2.707524272","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"57",57,"Cassiope tetragona","""Kluane""","0.091","0.091","61.10549","-138.6618","""Isla Myers-Smith""","""PlantHeight"";;","PlantHeight",NA,NA
"58",58,"Cassiope tetragona","""Atqasuk""","0.064","0.064","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"59",59,"Cassiope tetragona","""Herschel Island""","8.461538462","8.461538462","69.5749","-138.8631","""Isla Myers-Smith""","""SLA"";;","SLA",NA,NA
"60",60,"Cassiope tetragona","""BobHollisterSeeds""","1.05e-05","1.05e-05","71.31502696","-156.6010247","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"61",61,"Cassiope tetragona","""Atqasuk""","0.056","0.056","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"62",62,"Cassiope tetragona","""Atqasuk""","0.068","0.068","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"63",63,"Cassiope tetragona","""Barrow"," Alaska""","0.058","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"64",64,"Cassiope tetragona","""BobHollisterSeeds""","2.25e-05","2.25e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"65",65,"Cassiope tetragona","""Atqasuk""","0.086","0.086","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"66",66,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","7.35373953988937","7.35373953988937","69","18","""Ian Wright""","""SLA"";;","SLA",NA,NA
"67",67,"Cassiope tetragona","""Abisko""","0.125","0.125","68.32305","18.86583","""Mariska Te Beest""","""PlantHeight"";;","PlantHeight",NA,NA
"68",68,"Cassiope tetragona","""The Global Leaf Traits""","7.3537395399","7.3537395399","68.33","18.85","""Serge Sheremetev""","""SLA"";;","SLA",NA,NA
"69",69,"Cassiope tetragona","""Kluane""","8.055555556","8.055555556","61.10549","-138.6618","""Isla Myers-Smith""","""SLA"";;","SLA",NA,NA
"70",70,"Cassiope tetragona","""Abisko""","2.204771372","2.204771372","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"71",71,"Cassiope tetragona","""Kluane""","0.115","0.115","61.10549","-138.6618","""Isla Myers-Smith""","""PlantHeight"";;","PlantHeight",NA,NA
"72",72,"Cassiope tetragona","""Latnjajaure Sweden""","0.096","0.096","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"73",73,"Cassiope tetragona","""Latnjajaure Sweden""","0.087","0.087","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"74",74,"Cassiope tetragona","""Abisko""","2.975877193","2.975877193","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"75",75,"Cassiope tetragona","""Latnjajaure Sweden""","0.119","0.119","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"76",76,"Cassiope tetragona","""Barrow"," Alaska""","0.067","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"77",77,"Cassiope tetragona","""BobHollisterSeeds""","2.7e-05","2.7e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"78",78,"Cassiope tetragona","""Pika Camp""","0.044","0.044","61.21883","-138.24579","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"79",79,"Cassiope tetragona","""Abisko & Sheffield Database""","7.35373953988935","7.35373953988935","68.33","18.85","""Johannes Cornelissen""","""SLA"";;","SLA",NA,NA
"80",80,"Cassiope tetragona","""Kytalyk Ridge""","0.419","0.419","70.827512","147.46585","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""SLA"";","SLA",NA,NA
"81",81,"Cassiope tetragona","""Kluane""","9.285714286","9.285714286","61.10549","-138.6618","""Isla Myers-Smith""","""SLA"";;","SLA",NA,NA
"82",82,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.09","69.04823931","20.82722066","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"83",83,"Cassiope tetragona","""Atqasuk""","0.055","0.055","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"84",84,"Cassiope tetragona","""Atqasuk""","0.08","0.08","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"85",85,"Cassiope tetragona","""Latnjajaure Sweden""","0.092","0.092","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"86",86,"Cassiope tetragona","""Atqasuk""","0.01","0.01","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"87",87,"Cassiope tetragona","""Kytalyk Ridge""","0.1","0.1","70.827512","147.46585","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""PlantHeight"";","PlantHeight",NA,NA
"88",88,"Cassiope tetragona","""Latnjajaure Sweden""","0.072","0.072","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"89",89,"Cassiope tetragona","""Herschel Island""","7.5","7.5","69.5749","-138.8631","""Isla Myers-Smith""","""SLA"";;","SLA",NA,NA
"90",90,"Cassiope tetragona","""Latnjajaure Sweden""","0.085","0.085","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"91",91,"Cassiope tetragona","""Abisko""","1.84083045","1.84083045","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"92",92,"Cassiope tetragona","""GLOPNET - Global Plant Trait Network Database""","4","4","67.5","-152.5","""Ian Wright""","""SLA"";;","SLA",NA,NA
"93",93,"Cassiope tetragona","""BobHollisterSeeds""","2.04e-05","2.04e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"94",94,"Cassiope tetragona","""Kluane""","0.11","0.11","61.10549","-138.6618","""Isla Myers-Smith""","""PlantHeight"";;","PlantHeight",NA,NA
"95",95,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.06","69.04823931","20.82722066","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"96",96,"Cassiope tetragona","""Atqasuk""","0.064","0.064","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"97",97,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","7.4025","7.4025","69.57549","-139.21977","""Haydn Thomas"," Isla Myers-Smith""","SLA","""SLA"";;",NA
"98",98,"Cassiope tetragona","""Atqasuk""","0.08","0.08","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"99",99,"Cassiope tetragona","""Latnjajaure Sweden""","0.05","0.05","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"100",100,"Cassiope tetragona","""Atqasuk""","0.06","0.06","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"101",101,"Cassiope tetragona","""Latnjajaure Sweden""","0.042","0.042","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"102",102,"Cassiope tetragona","""Latnjajaure Sweden""","0.1","0.1","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"103",103,"Cassiope tetragona","""BobHollisterSeeds""","2.22e-05","2.22e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"104",104,"Cassiope tetragona","""Barrow"," Alaska""","0.04","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"105",105,"Cassiope tetragona","""Latnjajaure Sweden""","0.076","0.076","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"106",106,"Cassiope tetragona","""Kluane""","0.1","0.1","61.10549","-138.6618","""Isla Myers-Smith""","""PlantHeight"";;","PlantHeight",NA,NA
"107",107,"Cassiope tetragona","""Abisko""","3.031078611","3.031078611","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"108",108,"Cassiope tetragona","""Abisko""","6.262727273","6.262727273","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"109",109,"Cassiope tetragona","""Kilpisjarvi"," Finland""","0.05","69.04809405","20.8331016","""Konsta Happonen; Anna-Maria Virkkala; Miska Luoto""","""PlantHeight""","PlantHeight",NA,NA
"110",110,"Cassiope tetragona","""Abisko""","1.772594752","1.772594752","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"111",111,"Cassiope tetragona","""Atqasuk""","0.06","0.06","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"112",112,"Cassiope tetragona","""BobHollisterSeeds""","2.43e-05","2.43e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"113",113,"Cassiope tetragona","""Kluane""","13.72222222","13.72222222","61.10549","-138.6618","""Isla Myers-Smith""","""SLA"";;","SLA",NA,NA
"114",114,"Cassiope tetragona","""Latnjajaure Sweden""","0.091","0.091","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"115",115,"Cassiope tetragona","""Atqasuk""","0.043","0.043","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"116",116,"Cassiope tetragona","""Atqasuk""","0.061","0.061","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"117",117,"Cassiope tetragona","""Barrow"," Alaska""","0.057","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"118",118,"Cassiope tetragona","""Barrow"," Alaska""","0.082","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"119",119,"Cassiope tetragona","""Latnjajaure Sweden""","0.084","0.084","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"120",120,"Cassiope tetragona","""Kluane""","0.103","0.103","61.10549","-138.6618","""Isla Myers-Smith""","""PlantHeight"";;","PlantHeight",NA,NA
"121",121,"Cassiope tetragona","""Kytalyk Ridge""","0.07","0.07","70.83","147.45","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""PlantHeight"";","PlantHeight",NA,NA
"122",122,"Cassiope tetragona","""Abisko""","1.455919395","1.455919395","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"123",123,"Cassiope tetragona","""Atqasuk""","0.035","0.035","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"124",124,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","4.867692308","4.867692308","69.57549","-139.21977","""Haydn Thomas"," Isla Myers-Smith""","SLA","""SLA"";;",NA
"125",125,"Cassiope tetragona","""Atqasuk""","0.07","0.07","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"126",126,"Cassiope tetragona","""Pika Camp""","0.125","0.125","61.21649","-138.28606","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"127",127,"Cassiope tetragona","""Barrow"," Alaska""","0.058","71.31502696","-156.6010247","""Janet Prevey; Bob Hollister""","""PlantHeight"";","PlantHeight",NA,NA
"128",128,"Cassiope tetragona","""Atqasuk""","0.035","0.035","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"129",129,"Cassiope tetragona","""BobHollisterSeeds""","1.36e-05","1.36e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"130",130,"Cassiope tetragona","""Latnjajaure Sweden""","0.129","0.129","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"131",131,"Cassiope tetragona","""Kytalyk Ridge""","0.06","0.06","70.83","147.45","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""PlantHeight"";","PlantHeight",NA,NA
"132",132,"Cassiope tetragona","""Pika Camp""","0.062","0.062","61.21883","-138.24579","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"133",133,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.121","0.121","69.58015","-138.92355","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"134",134,"Cassiope tetragona","""Kytalyk Ridge""","0.1","0.1","70.83","147.45","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""PlantHeight"";","PlantHeight",NA,NA
"135",135,"Cassiope tetragona","""Pika Camp""","0.148","0.148","61.21649","-138.28606","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"136",136,"Cassiope tetragona","""Latnjajaure Sweden""","0.052","0.052","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"137",137,"Cassiope tetragona","""Pika Camp""","0.082","0.082","61.21649","-138.28606","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"138",138,"Cassiope tetragona","""Atqasuk""","0.086","0.086","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"139",139,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","8.142692308","8.142692308","69.57549","-139.21977","""Haydn Thomas"," Isla Myers-Smith""","SLA","""SLA"";;",NA
"140",140,"Cassiope tetragona","""Latnjajaure Sweden""","0.062","0.062","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"141",141,"Cassiope tetragona","""Latnjajaure Sweden""","0.034","0.034","68.3557","18.4953","""Juha Alatalo"," Ulf Molau","PlantHeight"," Gaurav Baruah""","""PlantHeight"";;"
"142",142,"Cassiope tetragona","""BobHollisterSeeds""","2.66e-06","2.66e-06","71.31502696","-156.6010247","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"143",143,"Cassiope tetragona","""Atqasuk""","0.035","0.035","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"144",144,"Cassiope tetragona","""Atqasuk""","0.005","0.005","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"145",145,"Cassiope tetragona","""Abisko & Sheffield Database""","7.35373953988935","7.35373953988935","68.33","18.85","""Johannes Cornelissen""","""SLA"";;","SLA",NA,NA
"146",146,"Cassiope tetragona","""BobHollisterSeeds""","2.125e-05","2.125e-05","70.45373011","-157.4073879","""BobHollisterSeeds""","""SeedMass"";;","SeedMass",NA,NA
"147",147,"Cassiope tetragona","""Kytalyk Ridge""","0.06","0.06","70.83","147.47","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""PlantHeight"";","PlantHeight",NA,NA
"148",148,"Cassiope tetragona","""Abisko""","4.611333333","4.611333333","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"149",149,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.115","0.115","69.58015","-138.92355","""Haydn Thomas""","""PlantHeight"";;","PlantHeight",NA,NA
"150",150,"Cassiope tetragona","""Qikiqtaruk-Herschel Island""","0.059","0.059","69.57549","-139.21977","""Haydn Thomas"," Isla Myers-Smith""","PlantHeight","""PlantHeight"";;",NA
"151",151,"Cassiope tetragona","""Kytalyk Ridge""","0.118","0.118","70.827512","147.46585","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""SLA"";","SLA",NA,NA
"152",152,"Cassiope tetragona","""Endalen Svalbard""","0.1","0.1","78.186036","15.739356","""Stef Weijers""","""PlantHeight"";;","PlantHeight",NA,NA
"153",153,"Cassiope tetragona","""Atqasuk""","0.075","0.075","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"154",154,"Cassiope tetragona","""Atqasuk""","0.038","0.038","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"155",155,"Cassiope tetragona","""Abisko""","1.936781609","1.936781609","68.32305","18.86583","""Mariska Te Beest""","""SLA"";;","SLA",NA,NA
"156",156,"Cassiope tetragona","""Tundra Plant Traits Database""","0.1","0.1",NA,NA,"""F. Stuart III Chapin""","""PlantHeight"";;","PlantHeight",NA,NA
"157",157,"Cassiope tetragona","""Atqasuk""","0.035","0.035","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"158",158,"Cassiope tetragona","""Abisko & Sheffield Database""","0.1","0.1","68.33","18.85","""Johannes Cornelissen""","""PlantHeight"";;","PlantHeight",NA,NA
"159",159,"Cassiope tetragona","""Abisko""","5","5","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"160",160,"Cassiope tetragona","""Atqasuk""","0.035","0.035","70.46","-157.42","""Robert Hollister""","""PlantHeight"";;","PlantHeight",NA,NA
"161",161,"Cassiope tetragona","""Abisko""","5.353636364","5.353636364","68.355968","18.722872","""Martin Hallinger""","""SLA"";;","SLA",NA,NA
"162",162,"Cassiope tetragona","""Abisko""","0.09","0.09","68.32305","18.86583","""Mariska Te Beest""","""PlantHeight"";;","PlantHeight",NA,NA
"163",163,"Cassiope tetragona","""Abisko & Sheffield Database""","0.1","0.1","68.33","18.85","""Johannes Cornelissen""","""PlantHeight"";;","PlantHeight",NA,NA
"164",164,"Cassiope tetragona","""Kytalyk Ridge""","0.06","0.06","70.83","147.45","""Maitane Iturrate Garcia; Gabriela Schaepman-Strub""","""PlantHeight"";","PlantHeight",NA,NA
